,,,3-Index,,,3-Index+SEC,,,3-Index+Claus,,,big-M+SEC,,,big-M+Claus,,
X10-RRU,2000,100,3675.64,2.56,1,3675.64,1.03,1,3675.64,1.27,1,3675.64,41.08,1,3675.64,63.53,1
X10-RRU,5000,100,3828.94,2.45,1,3828.94,2.71,1,3828.94,1.24,1,3828.94,74.81,1,3828.94,109.43,1
X10-RRU,6000,100,4015.44,2.15,1,4015.44,3.25,1,4015.44,1.46,1,4015.44,137.09,1,4015.44,165.58,1
X10-RRU,7000,100,3793.70,2.38,1,3793.70,3.05,1,3793.70,1.34,1,3793.70,77.16,1,3793.70,98.11,1
X20-RCU,0,100,2760.70,77.50,1,2760.70,38.44,1,2760.70,19.59,1,2760.70,3601.18,0,2760.70,3600.87,0
X20-RCU,1000,100,2513.82,52.74,1,2513.82,22.23,1,2513.82,21.88,1,2513.82,3600.79,0,2513.82,3600.87,0
X20-RCU,2000,100,2871.54,70.49,1,2871.54,32.11,1,2871.54,37.53,1,2871.54,3601.06,0,2871.54,3600.86,0
X20-RCU,5000,100,2625.71,80.64,1,2625.71,97.70,1,2625.71,132.28,1,2625.71,3601.04,0,2625.71,3600.84,0
X20-RCU,6000,100,2552.21,77.29,1,2552.21,121.32,1,2552.21,80.08,1,2552.21,3601.07,0,2552.21,3600.49,0
X20-RCU,7000,100,2546.14,97.93,1,2546.14,104.75,1,2546.14,121.15,1,2546.14,3601.15,0,2546.14,3600.85,0
X20-RMU,0,100,6288.56,96.64,1,6288.56,69.61,1,6288.56,69.69,1,6288.56,3600.93,0,6288.56,3600.87,0
X20-RMU,1000,100,6148.82,97.56,1,6148.82,69.85,1,6148.82,51.58,1,6148.82,3600.88,0,6148.82,3600.87,0
X20-RMU,2000,100,5964.72,83.30,1,5964.72,49.86,1,5964.72,37.30,1,5964.72,3601.02,0,5964.72,3600.51,0
X20-RMU,5000,100,6015.18,129.95,1,6015.18,80.29,1,6015.18,105.61,1,6015.18,3601.06,0,6015.18,3601.07,0
X20-RMU,6000,100,6140.75,130.17,1,6140.75,100.71,1,6140.75,115.27,1,6140.75,3601.08,0,6140.75,3600.50,0
X20-RMU,7000,100,5903.23,116.71,1,5903.23,76.16,1,5903.23,115.43,1,5903.23,3601.03,0,5903.23,3600.73,0
X20-RRU,0,100,5210.13,50.37,1,5210.13,20.45,1,5210.13,22.32,1,5210.13,3601.01,0,5210.13,3600.87,0
X20-RRU,1000,100,5350.67,47.73,1,5350.67,27.37,1,5350.67,22.05,1,5350.67,3600.91,0,5350.67,3600.57,0
X20-RRU,2000,100,5205.97,69.89,1,5205.97,26.02,1,5205.97,34.26,1,5205.97,3600.88,0,5205.97,3600.56,0
X20-RRU,5000,100,5087.21,105.48,1,5087.21,40.92,1,5087.21,39.07,1,5087.21,3601.08,0,5087.21,3601.10,0
X20-RRU,6000,100,5063.45,90.51,1,5063.45,31.00,1,5063.45,30.87,1,5063.45,3601.38,0,5063.45,3600.85,0
X20-RRU,7000,100,5166.57,101.49,1,5166.57,57.74,1,5166.57,57.08,1,5166.57,3601.01,0,5166.57,3600.74,0
X30-RCU,0,100,4706.55,893.69,1,4706.55,416.65,1,4706.55,218.98,1,4706.55,3602.39,0,4706.55,3601.61,0
X30-RCU,1000,100,5348.37,3613.60,0,5348.37,654.48,1,5348.37,487.38,1,5348.37,3602.29,0,5348.37,3602.30,0
X30-RCU,2000,100,5158.69,3609.90,0,5158.69,935.06,1,5158.69,381.47,1,5158.69,3601.66,0,5158.69,3602.15,0
X30-RCU,5000,100,5210.50,3609.97,0,5210.50,2367.87,1,5210.50,2461.98,1,5210.50,3602.85,0,5210.50,3601.20,0
X30-RCU,6000,100,5068.85,3609.97,0,5033.36,3394.21,1,5033.36,2229.89,1,5033.36,3603.08,0,5033.36,3601.93,0
X30-RCU,7000,100,5119.60,3609.25,0,5119.60,2393.18,1,5232.28,3601.55,0,5119.60,3602.59,0,5119.60,3601.27,0
X30-RMU,0,100,6308.89,3624.18,0,6192.88,952.19,1,6192.88,2055.55,1,6192.88,3602.01,0,6263.11,3601.40,0
X30-RMU,1000,100,6381.66,3622.90,0,6239.99,580.97,1,6239.99,2519.51,1,6239.99,3601.86,0,6378.71,3601.48,0
X30-RMU,2000,100,6028.88,3619.27,0,6028.88,722.28,1,6028.88,1213.98,1,6028.88,3602.28,0,6028.88,3601.51,0
X30-RMU,5000,100,6658.85,3619.28,0,6551.84,2033.55,1,6658.85,3601.75,0,6551.84,3602.44,0,6658.85,3601.98,0
X30-RMU,6000,100,6408.31,3619.23,0,6408.31,1731.88,1,6408.31,3601.60,0,6408.31,3602.59,0,6408.31,3601.40,0
X30-RMU,7000,100,6658.52,3619.34,0,6323.92,1780.56,1,6658.52,3601.62,0,6323.92,3603.56,0,6658.52,3601.27,0
X30-RRU,0,100,6485.26,3617.24,0,5477.28,485.90,1,5477.28,278.70,1,5477.28,3602.61,0,5477.28,3602.07,0
X30-RRU,1000,100,6118.88,3615.62,0,5875.01,440.36,1,5875.01,575.47,1,5875.01,3602.51,0,5875.01,3601.30,0
X30-RRU,2000,100,5955.99,3612.25,0,5776.42,407.02,1,5776.42,493.99,1,5776.42,3601.82,0,5776.42,3601.38,0
X30-RRU,5000,100,5867.03,3612.35,0,5867.03,1030.47,1,5867.03,3231.73,1,5867.03,3602.98,0,5867.03,3601.95,0
X30-RRU,6000,100,5821.06,3612.37,0,5769.54,818.49,1,5769.54,2672.97,1,5769.54,3603.23,0,5769.54,3601.28,0
X30-RRU,7000,100,5893.97,3611.53,0,5744.12,1052.16,1,5744.12,3601.51,0,5744.12,3602.30,0,5747.32,3601.94,0
