,,,big-M(A),,,big-M(B),,,3-Index(A),,,3-Index(B),,,3-Index(C),,,3-Index(D),,,3-Index(E),,,3-Index(F),,,3-Index(G),,,3-Index(H),,
X10-RMU,5000,100,4795.90,3600.20,0,4795.90,3600.19,0,4795.90,1.16,1,4795.90,9.94,1,4795.90,1.16,1,4795.90,1.03,1,4795.90,3.49,1,4795.90,159.60,1,4795.90,4.34,1,4795.90,4.30,1
X10-RMU,6000,100,4650.89,2939.30,1,4650.89,2825.88,1,4650.89,1.17,1,4650.89,18.77,1,4650.89,1.21,1,4650.89,1.14,1,4650.89,3.93,1,4650.89,93.95,1,4650.89,3.98,1,4650.89,4.36,1
X10-RMU,7000,100,5055.31,3600.19,0,5055.31,3600.19,0,5055.31,1.33,1,5055.31,15.48,1,5055.31,1.32,1,5055.31,1.42,1,5055.31,3.72,1,5055.31,81.65,1,5055.31,5.34,1,5055.31,6.76,1
X10-RRU,0,100,3738.03,1146.74,1,3738.03,532.08,1,3738.03,1.13,1,3738.03,5.89,1,3738.03,1.48,1,3738.03,0.32,1,3738.03,5.55,1,3738.03,20.17,1,3738.03,3.85,1,3738.03,3.53,1
X10-RRU,1000,100,3526.09,200.16,1,3526.09,208.71,1,3526.09,0.71,1,3526.09,8.18,1,3526.09,2.92,1,3526.09,1.21,1,3526.09,3.56,1,3526.09,31.52,1,3526.09,4.05,1,3526.09,4.51,1
X10-RRU,2000,100,3675.64,370.01,1,3675.64,343.83,1,3675.64,0.93,1,3675.64,17.30,1,3675.64,.60,1,3675.64,0.77,1,3675.64,5.21,1,3675.64,74.94,1,3675.64,3.72,1,3675.64,4.07,1
X10-RRU,5000,100,3828.94,776.38,1,3828.94,740.47,1,3828.94,1.86,1,3828.94,34.31,1,3828.94,1.28,1,3828.94,0.96,1,3828.94,4.69,1,3828.94,69.94,1,3828.94,4.18,1,3828.94,4.33,1
X10-RRU,6000,100,4015.44,1556.29,1,4015.44,1569.13,1,4015.44,1.67,1,4015.44,17.14,1,4015.44,1.08,1,4015.44,1.20,1,4015.44,5.56,1,4015.44,89.75,1,4015.44,4.32,1,4015.44,4.80,1
X10-RRU,7000,100,3793.70,690.49,1,3793.70,711.46,1,3793.70,1.63,1,3793.70,17.49,1,3793.70,1.19,1,3793.70,0.98,1,3793.70,4.54,1,3793.70,96.48,1,3793.70,4.51,1,3793.70,3.73,1
X20-RCU,0,100,2760.70,3601.19,0,2760.70,3600.53,0,2760.70,16.91,1,2760.70,567.89,1,2760.70,35.44,1,2760.70,85.91,1,2760.70,600.27,1,3245.29,3600.21,0,2760.70,1254.44,1,2760.70,1227.51,1
X20-RCU,1000,100,2513.82,3600.52,0,2513.82,3600.52,0,2513.82,18.34,1,2513.82,572.61,1,2513.82,22.33,1,2513.82,24.75,1,2513.82,886.67,1,2513.82,3600.57,0,2513.82,751.52,1,2513.82,949.01,1
X20-RCU,2000,100,2871.54,3600.52,0,2871.54,3600.53,0,2871.54,17.65,1,2871.54,731.84,1,2871.54,43.88,1,2871.54,88.90,1,2871.54,627.47,1,2871.54,3600.19,0,2871.54,1278.27,1,2871.54,1276.04,1
X20-RCU,5000,100,2625.71,3600.49,0,2625.71,3600.50,0,2625.71,14.41,1,2625.71,3354.09,1,2625.71,165.89,1,2625.71,183.86,1,2625.71,263.30,1,2694.07,3600.95,0,2625.71,1150.02,1,2625.71,857.14,1
X20-RCU,6000,100,2552.21,3600.47,0,2552.21,3600.49,0,2552.21,13.30,1,2552.21,2649.54,1,2552.21,175.21,1,2552.21,184.25,1,2552.21,283.93,1,2844.64,3600.28,0,2552.21,1543.76,1,2552.21,1498.64,1
X20-RCU,7000,100,2546.14,3600.50,0,2546.14,3600.50,0,2546.14,14.37,1,2546.14,2072.46,1,2546.14,167.91,1,2546.14,179.48,1,2546.14,302.18,1,2546.14,3600.60,0,2546.14,1242.47,1,2546.14,1146.38,1
X20-RMU,0,100,6288.56,3601.23,0,6288.56,3600.56,0,6288.56,105.81,1,6288.56,1082.98,1,6288.56,125.46,1,6288.56,117.06,1,6288.56,1216.05,1,7163.70,3600.54,0,6288.56,1430.45,1,6288.56,1937.84,1
X20-RMU,1000,100,6148.82,3600.55,0,6148.82,3600.55,0,6148.82,18.74,1,6148.82,713.84,1,6148.82,114.53,1,6148.82,234.37,1,6148.82,347.28,1,6148.82,3600.56,0,6148.82,893.94,1,6148.82,1525.48,1
X20-RMU,2000,100,5964.72,3600.88,0,5964.72,3600.52,0,5964.72,27.35,1,5964.72,593.56,1,5964.72,74.00,1,5964.72,194.33,1,5964.72,724.91,1,5964.72,3600.55,0,5964.72,976.84,1,5964.72,2086.17,1
X20-RMU,5000,100,6015.18,3600.83,0,6015.18,3600.50,0,6015.18,16.55,1,6015.18,1135.11,1,6015.18,151.82,1,6015.18,161.85,1,6015.18,287.47,1,6015.18,3600.27,0,6015.18,1265.20,1,6015.18,1719.43,1
X20-RMU,6000,100,6140.75,3600.49,0,6140.75,3600.52,0,6140.75,17.42,1,6140.75,1695.67,1,6140.75,169.03,1,6140.75,159.55,1,6140.75,325.22,1,6341.17,3600.30,0,6140.75,1159.13,1,6140.75,1784.48,1
X20-RMU,7000,100,5903.23,3600.49,0,5903.23,3600.49,0,5903.23,14.90,1,5903.23,1653.44,1,5903.23,153.38,1,5903.23,165.72,1,5903.23,434.78,1,5903.23,3600.61,0,5903.23,1403.44,1,5903.23,1559.31,1
X20-RRU,0,100,5210.13,3601.14,0,5210.13,3600.84,0,5210.13,14.50,1,5210.13,565.54,1,5210.13,28.52,1,5210.13,30.56,1,5210.13,489.78,1,5210.13,3600.20,0,5210.13,1077.68,1,5210.13,1091.31,1
X20-RRU,1000,100,5350.67,3600.57,0,5350.67,3600.56,0,5350.67,13.67,1,5350.67,842.84,1,5350.67,12.89,1,5350.67,20.63,1,5350.67,398.60,1,5350.67,3600.24,0,5350.67,842.20,1,5350.67,608.84,1
X20-RRU,2000,100,5205.97,3600.56,0,5205.97,3600.55,0,5205.97,14.90,1,5205.97,824.03,1,5205.97,18.08,1,5205.97,26.87,1,5205.97,344.77,1,5205.97,3600.23,0,5205.97,784.42,1,5205.97,942.84,1
X20-RRU,5000,100,5087.21,3600.50,0,5087.21,3600.51,0,5087.21,10.38,1,5087.21,1813.39,1,5087.21,26.47,1,5087.21,30.54,1,5087.21,200.42,1,5111.02,3600.64,0,5087.21,703.85,1,5087.21,773.83,1
X20-RRU,6000,100,5063.45,3600.52,0,5063.45,3600.52,0,5063.45,8.95,1,5063.45,1880.43,1,5063.45,22.31,1,5063.45,17.56,1,5063.45,434.28,1,5063.45,3600.59,0,5063.45,626.89,1,5063.45,655.55,1
X20-RRU,7000,100,5166.57,3600.49,0,5166.57,3600.49,0,5166.57,11.10,1,5166.57,1490.95,1,5166.57,23.87,1,5166.57,17.07,1,5166.57,185.43,1,5218.05,3600.62,0,5166.57,830.26,1,5166.57,646.35,1
X30-RCU,0,100,4706.55,3603.40,0,4706.55,3601.55,0,4706.55,1823.50,1,4893.02,3600.70,0,4706.55,206.47,1,4706.55,379.64,1,4706.55,3632.61,0,4893.02,3600.55,0,OOM,OOM,OOM,4893.02,3622.21,0
X30-RCU,1000,100,5348.37,3601.50,0,5348.37,3601.52,0,5749.00,3609.93,0,5925.26,3601.60,0,5348.37,555.42,1,5348.37,1180.36,1,5348.37,3616.12,0,5925.26,3600.73,0,OOM,OOM,OOM,5925.26,3635.56,0
X30-RCU,2000,100,5158.69,3601.38,0,5158.69,3601.45,0,5158.69,1164.04,1,5282.64,3600.78,0,5158.69,500.88,1,5158.69,806.17,1,5158.69,3610.80,0,5282.64,3600.56,0,OOM,OOM,OOM,OOM,OOM,OOM
X30-RCU,5000,100,5210.50,3601.19,0,5210.50,3601.19,0,5210.50,3610.60,0,5317.47,3601.60,0,5210.50,1473.74,1,5210.50,897.71,1,5210.50,3613.43,0,5317.47,3600.74,0,OOM,OOM,OOM,5317.47,3635.78,0
X30-RCU,6000,100,5033.36,3601.16,0,5033.36,3601.15,0,5033.36,3610.57,0,5068.85,3600.68,0,5033.36,2731.83,1,5033.36,971.25,1,OOM,OOM,OOM,5068.85,3603.54,0,OOM,OOM,OOM,5068.85,3636.75,0
X30-RCU,7000,100,5119.60,3601.21,0,5119.60,3602.03,0,5232.28,3609.35,0,5232.28,3602.31,0,5119.60,834.90,1,5119.60,1025.70,1,5119.60,3610.80,0,5232.28,3603.75,0,OOM,OOM,OOM,5232.28,3651.80,0
X30-RMU,0,100,6228.20,3603.09,0,6192.88,3601.40,0,6192.88,2632.63,1,6308.89,3601.41,0,6192.88,919.71,1,6192.88,1813.20,1,OOM,OOM,OOM,6308.89,3600.67,0,6308.89,3650.18,0,6308.89,3625.17,0
X30-RMU,1000,100,6239.99,3601.45,0,6239.99,3601.60,0,6381.66,3619.35,0,6381.66,3600.65,0,6239.99,631.91,1,6239.99,1385.76,1,6381.66,3622.39,0,6381.66,3600.64,0,6381.66,3629.22,0,6381.66,3640.60,0
X30-RMU,2000,100,6028.88,3601.49,0,6028.88,3601.50,0,6028.88,1461.31,1,6028.88,3600.65,0,6028.88,590.54,1,6028.88,514.00,1,6028.88,3621.01,0,6028.88,3601.47,0,OOM,OOM,OOM,6028.88,3639.52,0
X30-RMU,5000,100,6551.84,3601.23,0,6551.84,3601.24,0,6658.85,3618.75,0,6658.85,3600.79,0,6658.85,3619.75,0,6551.84,2005.64,1,OOM,OOM,OOM,6658.85,3601.63,0,6658.85,3688.49,0,6658.85,3617.14,0
X30-RMU,6000,100,6408.31,3601.30,0,6408.31,3601.32,0,6408.31,3619.49,0,6408.31,3601.52,0,6408.31,3619.57,0,6408.31,1764.15,1,OOM,OOM,OOM,6408.31,3603.63,0,6408.31,3693.19,0,6408.31,3619.99,0
X30-RMU,7000,100,6323.92,3601.23,0,6323.92,3601.24,0,6658.52,3618.90,0,6658.52,3601.93,0,6658.52,3619.51,0,6323.92,1148.35,1,6658.52,3620.26,0,6658.52,3602.33,0,6658.52,3693.62,0,6658.52,3634.04,0
X30-RRU,0,100,5477.28,3601.32,0,5477.28,3601.35,0,5477.28,2931.45,1,5529.15,3601.45,0,5477.28,522.83,1,5477.28,1055.98,1,OOM,OOM,OOM,5529.15,3600.55,0,6485.26,3621.60,0,5529.15,3651.44,0
X30-RRU,1000,100,5875.01,3602.01,0,5875.01,3602.04,0,5875.01,3287.29,1,6256.71,3600.69,0,5875.01,535.52,1,5875.01,1115.04,1,6118.88,3628.05,0,6256.71,3600.59,0,OOM,OOM,OOM,6256.71,3615.62,0
X30-RRU,2000,100,5776.42,3601.38,0,5776.42,3601.40,0,5776.42,1810.67,1,6204.36,3600.61,0,5776.42,355.73,1,5776.42,308.31,1,OOM,OOM,OOM,6204.36,3600.54,0,OOM,OOM,OOM,6204.36,3623.87,0
X30-RRU,5000,100,5867.03,3601.14,0,5867.03,3601.15,0,5867.03,3611.66,0,5937.07,3601.48,0,5867.03,837.54,1,5867.03,834.92,1,5867.03,3615.97,0,5937.07,3601.54,0,OOM,OOM,OOM,OOM,OOM,OOM
X30-RRU,6000,100,5769.54,3601.20,0,5769.54,3601.20,0,5821.06,3612.48,0,5769.54,3601.86,0,5769.54,1846.53,1,5769.54,850.49,1,5821.06,3616.26,0,5769.54,3603.47,0,OOM,OOM,OOM,5769.54,3618.92,0
X30-RRU,7000,100,5744.12,3601.17,0,5744.12,3601.16,0,5747.32,3612.07,0,5747.32,3602.30,0,5744.12,939.76,1,5744.12,835.15,1,5893.97,3612.61,0,5747.32,3601.93,0,OOM,OOM,OOM,5747.32,3615.50,0
